,name,rating,reviews,company-type,HQ,age,employees
12,BA Continuum,4.4,(939 Reviews),Private,"Gurgaon/Gurugram,Haryana + 11 more",19 years old,10k-50k Employees (India)
13,Uflex,3.8,(1k Reviews),Public,"Noida,Uttar Pradesh + 31 more",39 years old,501-1k Employees (India)
14,Hindustan Constr...,4.2,(927 Reviews),Public,"Mumbai,Maharashtra + 56 more",96 years old,1k-5k Employees (India)
15,CSS Corp,3.7,(926 Reviews),Private,"San Jose,California + 20 more",26 years old,5k-10k Employees (India)
16,Foxconn,4.1,(922 Reviews),Private,Taipei + 23 more,48 years old,10k-50k Employees (India)
17,Adani Wilmar,4.1,(919 Reviews),Public,"Ahmedabad,Gujrat + 104 more",34 years old,1k-5k Employees (India)
18,Shell,4.3,(954 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 62 more",18 years old,5k-10k Employees (India)
19,Panasonic,4.1,(1.6k Reviews),Private,"Kadoma,Osaka + 104 more",104 years old,10k-50k Employees (India)
20,Dell EMC,4.2,(957 Reviews),Private,Hopkinton + 47 more,43 years old,10k-50k Employees (India)
21,Extramarks Educa...,3.4,(915 Reviews),Private,"Noida,Uttar Pradesh + 82 more",15 years old,1k-5k Employees (India)
22,Blinkit,3.9,(913 Reviews),Private,"Gurgaon,Haryana + 44 more",9 years old,5k-10k Employees (India)
23,Yazaki,4.0,(1.1k Reviews),Private,"Tokyo,Tokyo + 38 more",81 years old,10k-50k Employees (India)
24,Cromā,4.4,(910 Reviews),Private,"Mumbai,Maharashtra + 63 more",16 years old,1k-5k Employees (India)
25,Dainik Bhaskar G...,4.1,(909 Reviews),Public,"Bhopal,Madhya Pradesh + 105 more",64 years old,5k-10k Employees (India)
26,ValueLabs,3.8,(908 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 10 more",25 years old,1k-5k Employees (India)
27,ITC Hotels,4.0,(950 Reviews),Public,"Kolkata,West Bengal + 59 more",47 years old,5k-10k Employees (India)
28,Cybage,3.9,(902 Reviews),Private,"Pune,Maharashtra + 4 more",27 years old,5k-10k Employees (India)
29,State Street Cor...,3.7,(1k Reviews),Private,"Boston,Massachusetts + 9 more",12 years old,5k-10k Employees (India)
0,Barclays Shared ...,4.2,(899 Reviews),Private,London + 10 more,15 years old,5k-10k Employees (India)
1,Honeywell Automa...,3.9,(899 Reviews),Public,"Morris Plains,New Jersey + 44 more",116 years old,10k-50k Employees (India)
2,Reckitt Benckise...,4.0,(899 Reviews),Private,"Slough,Slough + 90 more",23 years old,1k-5k Employees (India)
3,Synechron,4.0,(1.2k Reviews),Private,"New York,New York + 12 more",21 years old,5k-10k Employees (India)
4,Sify Technologie...,4.0,(892 Reviews),Private,"Chennai,Tamil Nadu + 70 more",27 years old,1k-5k Employees (India)
5,Johnson & Johnso...,4.3,(937 Reviews),Private,"New Brunswick,New Jersey + 106 more",65 years old,5k-10k Employees (India)
6,Barclays,4.2,(933 Reviews),Private,London + 19 more,332 years old,10k-50k Employees (India)
7,Tata Play,4.1,(891 Reviews),Public,"Mumbai,Maharashtra + 147 more",16 years old,1k-5k Employees (India)
8,Syngene Internat...,3.8,(890 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",29 years old,1k-5k Employees (India)
9,Reliance SMSL,4.2,(889 Reviews),Public,Mumbai + 250 more,15 years old,1k-5k Employees (India)
10,Vardhman Fabrics,4.2,(889 Reviews),4.2,4.2,4.2,4.2
11,BlackBuck,4.0,(887 Reviews),Private,"Bangalore,Karnataka + 146 more",7 years old,1k-5k Employees (India)
12,Aforeserve.com,3.5,(887 Reviews),Private,"Noida,Uttar Pradesh + 120 more",22 years old,1k-5k Employees (India)
13,RMSI,3.8,(885 Reviews),Private,"Noida,Uttar Pradesh + 11 more",30 years old,1k-5k Employees (India)
14,Iksula,4.1,(885 Reviews),4.1,4.1,4.1,4.1
15,Dr Lal PathLabs,4.2,(882 Reviews),Public,"Gurgaon/Gurugram,Haryana + 106 more",73 years old,1k-5k Employees (India)
16,Max Fashion,4.3,(882 Reviews),Private,Abu Dhabi + 107 more,8 years old,5k-10k Employees (India)
17,Inox Leisure,4.1,(879 Reviews),Public,"Mumbai,Maharashtra + 76 more",23 years old,1k-5k Employees (India)
18,Akums Drugs & Ph...,4.0,(1.2k Reviews),Private,"Delhi/NCR,New Delhi + 26 more",18 years old,5k-10k Employees (India)
19,Sony,4.4,(975 Reviews),Public,"Delhi/NCR,Delhi + 106 more",28 years old,501-1k Employees (India)
20,Legato Health Te...,4.0,(874 Reviews),4.0,4.0,4.0,4.0
21,Ninjacart,3.4,(870 Reviews),Private,"Bangalore,Karnataka + 62 more",7 years old,1k-5k Employees (India)
22,Punj Lloyd,4.2,(868 Reviews),Public,"Gurgaon/Gurugram,Haryana + 68 more",40 years old,1k-5k Employees (India)
23,Bharat Financial...,4.2,(865 Reviews),Public,Hyderabad + 207 more,24 years old,10k-50k Employees (India)
24,Kent RO Systems,3.6,(862 Reviews),Private,"Noida,Uttar Pradesh + 108 more",23 years old,1k-5k Employees (India)
25,Renault Nissan T...,3.8,(860 Reviews),3.8,3.8,3.8,3.8
26,The Jaypee Group,4.1,(1.5k Reviews),Public,"Noida,Uttar Pradesh + 80 more",43 years old,10k-50k Employees (India)
27,Procter & Gamble,4.2,(1.3k Reviews),Public,"Cincinnati,Ohio + 150 more",185 years old,5k-10k Employees (India)
28,FedEx Express,4.3,(1k Reviews),Private,"Memphis,Tennessee + 80 more",51 years old,1k-5k Employees (India)
29,Adecco Group,3.9,(851 Reviews),Private,"Zurich,Zurich + 100 more",23 years old,1k-5k Employees (India)
0,Fujitsu,4.0,(850 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",87 years old,5k-10k Employees (India)
1,Marriott Interna...,4.2,(2.9k Reviews),Private,"Bethesda,Maryland + 57 more",95 years old,10k-50k Employees (India)
2,HCL Technologies...,3.6,(848 Reviews),Private,Noida + 29 more,22 years old,10k-50k Employees (Global)
3,Edelweiss,3.9,(847 Reviews),Public,"Mumbai,Maharashtra + 100 more",5 years old,5k-10k Employees (India)
4,Angel One,3.9,(846 Reviews),3.9,3.9,3.9,3.9
5,Mother Dairy Fru...,4.2,(844 Reviews),Private,"Noida,Uttar Pradesh + 88 more",48 years old,1k-5k Employees (India)
6,Emami,4.0,(1.6k Reviews),Public,"Kolkata,West Bengal + 119 more",48 years old,10k-50k Employees (India)
7,DHL Express,4.3,(843 Reviews),Private,Bonn + 70 more,43 years old,1k-5k Employees (India)
8,Microland,3.8,(841 Reviews),Public,Bangalore + 30 more,33 years old,1k-5k Employees (India)
9,KFC,4.1,(841 Reviews),Private,"Louisville,Kentucky + 110 more",70 years old,1k-5k Employees (India)
10,AECOM,4.2,(846 Reviews),Private,"Los Angeles,California + 82 more",32 years old,1k-5k Employees (India)
11,Verizon,4.2,(865 Reviews),Private,"New York City,New York + 8 more",22 years old,5k-10k Employees (India)
12,Kotak Securities,3.9,(839 Reviews),Private,"Mumbai,Maharashtra + 88 more",28 years old,1k-5k Employees (India)
13,Narayana Educati...,3.8,(839 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 90 more",37 years old,1k-5k Employees (India)
14,SRL Diagnostics,4.1,(838 Reviews),Private,Mumbai + 102 more,27 years old,1k-5k Employees (India)
15,Reliance General...,3.9,(837 Reviews),Private,"Mumbai,Maharashtra + 130 more",22 years old,10k-50k Employees (India)
16,Toyota Kirloskar...,4.2,(836 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 53 more",25 years old,5k-10k Employees (India)
17,Badve Engineerin...,3.9,(836 Reviews),Private,"Aurangabad,Maharashtra + 29 more",26 years old,1k-5k Employees (India)
18,Cavinkare,4.2,(835 Reviews),Private,"Chennai,Tamil Nadu + 106 more",39 years old,1k-5k Employees (India)
19,SGS,4.0,(836 Reviews),Private,"Geneva,Geneva + 71 more",144 years old,1k-5k Employees (India)
20,USHA Internation...,4.2,(859 Reviews),Public,"Gurgaon/Gurugram,Haryana + 87 more",88 years old,1k-5k Employees (India)
21,Square Yards,3.1,(833 Reviews),Private,"Gurgaon,Haryana + 34 more",9 years old,1k-5k Employees (India)
22,First American C...,4.0,(1.2k Reviews),Private,"Santa Ana,California + 10 more",133 years old,1k-5k Employees (India)
23,Jindal Stainless,4.1,(876 Reviews),Public,"Delhi/NCR,New Delhi + 40 more",52 years old,10k-50k Employees (India)
24,XpressBees,4.1,(821 Reviews),Private,"Pune,Maharashtra + 143 more",7 years old,10k-50k Employees (India)
25,Serco,4.2,(820 Reviews),Private,Hook + 37 more,34 years old,5k-10k Employees (India)
26,Consolidated Con...,4.6,(820 Reviews),Public,"Marousi,Alger + 37 more",70 years old,1k-5k Employees (India)
27,Aavas Financiers...,4.1,(819 Reviews),Public,"Jaipur,Rajasthan + 171 more",11 years old,5k-10k Employees (India)
28,Exl India,3.8,(818 Reviews),3.8,3.8,3.8,3.8
29,Safexpress,4.2,(933 Reviews),Private,"Delhi/NCR,Delhi + 108 more",25 years old,1k-5k Employees (India)
0,Ocwen Financial ...,4.1,(814 Reviews),Private,"West Palm Beach,Florida + 6 more",34 years old,1k-5k Employees (India)
1,Zomato,3.9,(814 Reviews),Private,"Gurgaon,Haryana + 123 more",14 years old,10k-50k Employees (India)
2,Canara HSBC OBC ...,3.7,(813 Reviews),Public,"Gurgaon/Gurugram,Haryana + 149 more",14 years old,1k-5k Employees (India)
3,Northern Trust O...,4.1,(812 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 11 more",17 years old,1k-5k Employees (India)
4,DIVI'S Laborator...,3.7,(811 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 12 more",32 years old,10k-50k Employees (India)
5,Vertex Customer ...,3.6,(808 Reviews),Private,Panchkula + 30 more,12 years old,5k-10k Employees (India)
6,Xoriant,4.5,(808 Reviews),Private,"Sunnyvale,California + 14 more",32 years old,1k-5k Employees (India)
7,Nagarro,4.2,(807 Reviews),Private,"Munich,Bavaria + 14 more",26 years old,5k-10k Employees (India)
8,Harman Connected...,3.8,(801 Reviews),Private,"Mountain View,California + 8 more",21 years old,10k-50k Employees (India)
9,Motherson Automo...,3.9,(3.2k Reviews),Private,Noida + 40 more,25 years old,501-1k Employees (India)
10,HERE Technologie...,4.0,(798 Reviews),Private,"Eindhoven,North Brabant + 8 more",37 years old,1k-5k Employees (India)
11,Laurus Labs,4.3,(798 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 5 more",17 years old,1k-5k Employees (India)
12,SLK Global Servi...,3.9,(797 Reviews),Private,"Dallas,Texas + 5 more",22 years old,51-200 Employees (India)
13,Bank of Baroda,3.8,(1.1k Reviews),Private,"Vadodara/Baroda,Gujrat + 161 more",114 years old,10k-50k Employees (India)
14,Motilal Oswal Fi...,3.7,(796 Reviews),Public,"Mumbai,Maharashtra + 83 more",35 years old,5k-10k Employees (India)
15,KONE,4.1,(796 Reviews),Private,"Chennai,Tamil Nadu + 52 more",38 years old,1k-5k Employees (India)
16,Innovsource Serv...,4.1,(792 Reviews),4.1,4.1,4.1,4.1
17,Sitel,3.9,(921 Reviews),Private,"Miami,Florida + 10 more",37 years old,1k-5k Employees (India)
18,Medanta the Medi...,4.1,(791 Reviews),Private,Gurgaon + 27 more,13 years old,1k-5k Employees (India)
19,Essar Steel,3.9,(791 Reviews),Private,"Mumbai,Maharashtra + 29 more",46 years old,10k-50k Employees (Global)
20,Philips,4.0,(1.3k Reviews),Private,Amsterdam + 68 more,92 years old,5k-10k Employees (India)
21,Nayara Energy,4.1,(790 Reviews),4.1,4.1,4.1,4.1
22,Medi Assist Indi...,3.9,(790 Reviews),Private,"Bangalore,Karnataka + 42 more",22 years old,1k-5k Employees (India)
23,Satin Creditcare...,4.2,(790 Reviews),Public,"Gurgaon/Gurugram,Haryana + 167 more",32 years old,5k-10k Employees (India)
24,XcelServ Solutio...,4.8,(789 Reviews),Private,"Las Vegas,Nevada + 34 more",11 years old,501-1k Employees (India)
25,TVS Logistics Se...,4.2,(906 Reviews),Private,"Chennai,Tamil Nadu + 75 more",18 years old,1k-5k Employees (India)
26,Varroc Group,3.7,(889 Reviews),Public,Aurangabad + 24 more,34 years old,1k-5k Employees (India)
27,Hindustan Petrol...,4.4,(787 Reviews),Public,"Mumbai,Maharashtra + 133 more",48 years old,5k-10k Employees (India)
28,L.G.Balakrishnan...,3.9,(786 Reviews),Public,"Coimbatore,Tamil Nadu + 28 more",85 years old,1k-5k Employees (India)
29,G R Infraproject...,4.1,(785 Reviews),Public,"Udaipur,Rajasthan + 87 more",27 years old,10k-50k Employees (India)
0,NCR Corporation,4.0,(788 Reviews),Private,"Atlanta,Georgia + 55 more",138 years old,5k-10k Employees (India)
1,Schindler Group,4.0,(783 Reviews),Private,"Ebikon,Lucerne + 56 more",25 years old,1k-5k Employees (India)
2,L&T Energy Hydro...,3.9,(783 Reviews),Private,"Mumbai,Maharashtra + 45 more",13 years old,1k-5k Employees (India)
3,Allsec Technolog...,3.7,(782 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 15 more",22 years old,1k-5k Employees (India)
4,ISS Facility Ser...,4.3,(781 Reviews),Private,Copenhagen + 46 more,17 years old,50k-1 Lakh Employees (India)
5,Star Health & Al...,4.0,(780 Reviews),Private,"Chennai,Tamil Nadu + 173 more",16 years old,10k-50k Employees (India)
6,SAP,4.4,(1.1k Reviews),Private,"Walldorf,Baden-Württemberg + 25 more",24 years old,10k-50k Employees (India)
7,Tesco,4.1,(840 Reviews),Private,Hertfordshire + 14 more,103 years old,1k-5k Employees (India)
8,Vfs Global Servi...,3.7,(778 Reviews),Private,"Mumbai,Maharashtra + 22 more",21 years old,1k-5k Employees (India)
9,FactSet,4.0,(778 Reviews),Private,"Norwalk,Connecticut + 6 more",15 years old,1k-5k Employees (India)
10,Citibank,4.1,(776 Reviews),Private,"New York,New York + 41 more",210 years old,10k-50k Employees (India)
11,Akzo Nobel India,4.2,(776 Reviews),Public,Amsterdam + 103 more,83 years old,1k-5k Employees (India)
12,Cisco Systems,4.5,(879 Reviews),Private,"San Jose,California + 26 more",38 years old,10k-50k Employees (India)
13,Torrent Power,3.9,(789 Reviews),Public,"Ahmedabad,Gujrat + 31 more",26 years old,1k-5k Employees (India)
14,Crisil,3.8,(783 Reviews),Public,"Mumbai,Maharashtra + 42 more",35 years old,1k-5k Employees (India)
15,Intellect Design...,4.1,(773 Reviews),Public,"Chennai,Tamil Nadu + 21 more",8 years old,1k-5k Employees (India)
16,Trident Group,3.8,(771 Reviews),Public,"Ludhiana,Punjab + 34 more",32 years old,1k-5k Employees (India)
17,Gannon Dunkerley,4.0,(769 Reviews),Private,"Mumbai,Maharashtra + 51 more",98 years old,1k-5k Employees (India)
18,NTPC,4.2,(1.2k Reviews),Private,"Delhi/NCR,Delhi + 72 more",47 years old,10k-50k Employees (India)
19,Bharat Forge,3.9,(767 Reviews),Public,"Pune,Maharashtra + 12 more",61 years old,1k-5k Employees (India)
20,Relaxo Footwear,4.0,(765 Reviews),Public,"New Delhi,Delhi + 90 more",46 years old,1k-5k Employees (India)
21,V-Guard Industri...,4.5,(775 Reviews),Public,"Kochi/Cochin,Kerala + 90 more",45 years old,1k-5k Employees (India)
22,CMA CGM,4.1,(897 Reviews),Private,"Marseille,Marseille + 19 more",44 years old,501-1k Employees (India)
23,Exela Technologi...,3.5,(758 Reviews),Private,"Irving,Texas + 15 more",11 years old,1k-5k Employees (India)
24,Faurecia,4.0,(758 Reviews),Private,Nanterre + 21 more,25 years old,1k-5k Employees (India)
25,Pantaloons,4.2,(756 Reviews),4.2,4.2,4.2,4.2
26,TCE,3.7,(754 Reviews),Private,"Mumbai,Maharashtra + 65 more",60 years old,1k-5k Employees (India)
27,USV,4.1,(754 Reviews),Private,"Mumbai,Maharashtra + 71 more",61 years old,1k-5k Employees (India)
28,Aricent,3.7,(753 Reviews),Private,"Santa Clara,California + 11 more",40 years old,5k-10k Employees (India)
29,J. Kumar Infrapr...,4.1,(751 Reviews),Public,"Mumbai,Maharashtra + 23 more",42 years old,5k-10k Employees (India)
0,HDFC Securities,3.6,(750 Reviews),Public,"Mumbai,Maharashtra + 128 more",22 years old,1k-5k Employees (India)
1,GMR Group,4.2,(1.5k Reviews),Public,"Delhi/NCR,New Delhi + 44 more",44 years old,5k-10k Employees (India)
2,Yash Technologie...,3.9,(749 Reviews),Private,"East Moline,Illinois + 11 more",26 years old,5k-10k Employees (India)
3,Swaraj Tractors,4.3,(749 Reviews),4.3,4.3,4.3,4.3
4,ISGEC,3.9,(748 Reviews),Public,"Noida,Uttar Pradesh + 45 more",89 years old,1k-5k Employees (India)
5,Bayer,4.4,(960 Reviews),Public,"Monheim Am Rhein,North Rhine-westphalia + 139 more",159 years old,10k-50k Employees (India)
6,Mercedes-Benz Re...,3.9,(745 Reviews),Private,Stuttgart + 45 more,26 years old,1k-5k Employees (India)
7,Trent,4.3,(743 Reviews),Public,"Mumbai,Maharashtra + 78 more",24 years old,1k-5k Employees (India)
8,Fabindia,4.1,(741 Reviews),Private,"Delhi/NCR,Delhi + 69 more",64 years old,1k-5k Employees (India)
9,Cinépolis,4.4,(741 Reviews),4.4,4.4,4.4,4.4
10,Amazon Transport...,4.2,(12.8k Reviews),Private,"Seattle,Washington + 101 more",10 years old,1k-5k Employees (India)
11,Heritage Foods I...,4.1,(736 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 68 more",30 years old,501-1k Employees (India)
12,Intex Technologi...,4.1,(736 Reviews),Public,"Delhi/NCR,New Delhi + 70 more",26 years old,1k-5k Employees (India)
13,Orange Business ...,4.2,(732 Reviews),Private,Paris + 36 more,16 years old,1k-5k Employees (India)
14,Petrofac,4.3,(1.3k Reviews),Private,"Sharjah,Sharjah + 29 more",31 years old,1k-5k Employees (India)
15,JW Marriott,4.3,(730 Reviews),Private,"Bethesda,Maryland + 35 more",95 years old,1k-5k Employees (India)
16,Aptara,3.4,(729 Reviews),Private,"Falls Church,Virginia + 10 more",34 years old,1k-5k Employees (India)
17,Saipem,4.1,(728 Reviews),Private,"San Donato Milanese,Milan + 29 more",65 years old,1k-5k Employees (India)
18,MSN Laboratories,3.6,(726 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 44 more",19 years old,1k-5k Employees (India)
19,Care Health Insu...,3.9,(726 Reviews),Public,"Gurgaon,Haryana + 120 more",10 years old,5k-10k Employees (India)
20,Welspun India,4.0,(725 Reviews),Private,Mumbai + 31 more,37 years old,5k-10k Employees (India)
21,Indiabulls Home ...,4.0,(721 Reviews),4.0,4.0,4.0,4.0
22,Citicorp,3.8,(720 Reviews),Private,"Mumbai,Maharashtra + 28 more",25 years old,10k-50k Employees (India)
23,BT Global Servic...,4.3,(719 Reviews),Private,London + 8 more,22 years old,1k-5k Employees (India)
24,NIIT,3.7,(719 Reviews),3.7,3.7,3.7,3.7
25,DENSO,4.1,(787 Reviews),Public,"Kariya,Aichi + 32 more",75 years old,501-1k Employees (India)
26,Tikona Infinet,3.8,(718 Reviews),Private,"Mumbai,Maharashtra + 41 more",14 years old,1k-5k Employees (India)
27,Tata Elxsi,4.0,(716 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 11 more",33 years old,5k-10k Employees (India)
28,Altisource,3.8,(715 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 8 more",15 years old,1k-5k Employees (India)
29,Sysnet Global Te...,3.8,(712 Reviews),Private,"Delhi/NCR,Delhi + 90 more",23 years old,1k-5k Employees (India)
0,Aragen Life Scie...,4.3,(710 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 11 more",22 years old,1k-5k Employees (India)
1,Bata,4.0,(710 Reviews),Public,Lausanne + 85 more,91 years old,1k-5k Employees (India)
2,Honeywell Techno...,3.9,(710 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 15 more",28 years old,10k-50k Employees (India)
3,Hero FinCorp,4.3,(708 Reviews),Private,Delhi + 186 more,31 years old,1k-5k Employees (India)
4,Volkswagen,4.1,(1.2k Reviews),Private,Berlin + 84 more,21 years old,10k-50k Employees (India)
5,Amity University,3.7,(706 Reviews),Private,"Noida,Uttar Pradesh + 65 more",17 years old,1k-5k Employees (India)
6,DHL Supply Chain,4.3,(706 Reviews),Private,Bonn + 55 more,53 years old,1k-5k Employees (India)
7,Unisys,3.7,(706 Reviews),Private,"Blue Bell,Pennsylvania + 8 more",35 years old,1k-5k Employees (India)
8,Lumax Industries,4.0,(703 Reviews),Public,"Pune,Maharashtra + 26 more",77 years old,501-1k Employees (India)
9,Mercer,3.9,(702 Reviews),Private,"New York,New York + 10 more",77 years old,1k-5k Employees (India)
10,Daimler India Co...,4.1,(702 Reviews),Private,"Chennai,Tamil Nadu + 29 more",136 years old,1k-5k Employees (India)
11,Sharekhan,4.0,(699 Reviews),Public,"Mumbai,Maharashtra + 101 more",22 years old,5k-10k Employees (India)
12,Steel Strips Whe...,3.7,(699 Reviews),Public,"Chandigarh,Chandigarh + 23 more",37 years old,5k-10k Employees (India)
13,Biological E,4.2,(699 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 22 more",69 years old,1k-5k Employees (India)
14,Marico,4.1,(1.1k Reviews),Public,"Mumbai,Maharashtra + 104 more",32 years old,1k-5k Employees (India)
15,Sanofi,4.5,(841 Reviews),Public,Paris + 60 more,18 years old,1k-5k Employees (India)
16,iQor Global Serv...,4.1,(697 Reviews),Private,"Saint Petersburg,Florida + 47 more",24 years old,1k-5k Employees (India)
17,Indiabulls Consu...,3.9,(693 Reviews),3.9,3.9,3.9,3.9
18,Security and Int...,4.2,(693 Reviews),4.2,4.2,4.2,4.2
19,SKF,4.0,(690 Reviews),Public,"Pune,Maharashtra + 48 more",99 years old,1k-5k Employees (India)
20,Fincare Small Fi...,4.0,(689 Reviews),4.0,4.0,4.0,4.0
21,Indian Railways,4.1,(2.2k Reviews),Govt Organisation,"Delhi/NCR,Delhi + 114 more",169 years old,1 Lakh+ Employees (Global)
22,Oracle Financial...,3.8,(685 Reviews),Public,Mumbai + 12 more,32 years old,50k-1 Lakh Employees (India)
23,IDC Technologies,3.5,(684 Reviews),Private,"Milpitas,California + 46 more",19 years old,1k-5k Employees (India)
24,Paisabazaar.com,3.9,(683 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",11 years old,1k-5k Employees (India)
25,Spicejet,3.6,(681 Reviews),Public,"Gurgaon/Gurugram,Haryana + 45 more",18 years old,10k-50k Employees (Global)
26,Suguna Foods,4.1,(680 Reviews),Private,"Coimbatore,Tamil Nadu + 106 more",38 years old,5k-10k Employees (India)
27,Frankfinn Instit...,3.9,(680 Reviews),Private,"Gurgaon/Gurugram,Haryana + 48 more",29 years old,1k-5k Employees (India)
28,Columbia Asia,4.3,(677 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 18 more",17 years old,1k-5k Employees (India)
29,AIS Distribution...,3.9,(675 Reviews),Public,"Gurgaon/Gurugram,Haryana + 47 more",38 years old,1k-5k Employees (India)
0,DISH TV,3.8,(1.7k Reviews),Public,"Noida,Uttar Pradesh + 111 more",19 years old,1k-5k Employees (Global)
1,Fino Payments Ba...,4.3,(670 Reviews),Private,"Mumbai,Maharashtra + 142 more",16 years old,1k-5k Employees (India)
2,Jindal Saw,4.1,(670 Reviews),Public,"Delhi/NCR,New Delhi + 35 more",38 years old,5k-10k Employees (India)
3,TATA Power,4.2,(1.2k Reviews),Public,"Mumbai,Maharashtra + 77 more",111 years old,5k-10k Employees (India)
4,ECIL,4.2,(666 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 29 more",55 years old,1k-5k Employees (India)
5,Aditya Birla Cap...,4.1,(665 Reviews),Public,Mumbai + 121 more,15 years old,10k-50k Employees (India)
6,Krishna Maruti,4.1,(665 Reviews),Private,"Gurgaon/Gurugram,Haryana + 23 more",28 years old,1k-5k Employees (India)
7,Jubilant Pharmov...,4.1,(665 Reviews),Public,"Noida,Uttar Pradesh + 42 more",44 years old,5k-10k Employees (Global)
8,NSH,3.7,(664 Reviews),Private,Al Jubail + 29 more,44 years old,501-1k Employees (India)
9,FDC,4.0,(661 Reviews),Public,"Mumbai,Maharashtra + 73 more",82 years old,1k-5k Employees (India)
10,Bajaj Motors,3.8,(659 Reviews),Private,Gurgaon + 45 more,36 years old,5k-10k Employees (India)
11,SYSKA LED Lights,3.6,(659 Reviews),Private,"Pune,Maharashtra + 107 more",10 years old,1k-5k Employees (Global)
12,Cushman & Wakefi...,4.3,(658 Reviews),Private,Chicago + 25 more,25 years old,1k-5k Employees (India)
13,Computer Age Man...,3.8,(657 Reviews),Private,"Chennai,Tamil Nadu + 62 more",34 years old,1k-5k Employees (India)
14,Jubilant Foods W...,3.9,(655 Reviews),3.9,3.9,3.9,3.9
15,Daikin,4.2,(655 Reviews),Private,"Osaka City,Osaka + 58 more",22 years old,1k-5k Employees (India)
16,ElasticRun,3.8,(654 Reviews),Private,"Pune,Maharashtra + 158 more",6 years old,1k-5k Employees (India)
17,Bharat Sanchar N...,4.0,(653 Reviews),Private,"Delhi/NCR,New Delhi + 165 more",22 years old,50k-1 Lakh Employees (India)
18,Straive,3.7,(653 Reviews),Private,Chennai + 15 more,42 years old,1k-5k Employees (India)
19,BVG India,3.9,(651 Reviews),Private,"Pune,Maharashtra + 67 more",25 years old,1k-5k Employees (India)
20,ITD Cementation ...,4.2,(649 Reviews),Public,"Mumbai,Maharashtra + 41 more",91 years old,1k-5k Employees (India)
21,Rane TRW Steerin...,4.1,(649 Reviews),4.1,4.1,4.1,4.1
22,Fresenius,4.0,(648 Reviews),Public,"Bad Homburg,Hesse + 51 more",23 years old,1k-5k Employees (India)
23,ZS,3.8,(648 Reviews),Private,"Evanston,Illinois + 5 more",39 years old,5k-10k Employees (India)
24,Oil And Natural ...,4.3,(1.5k Reviews),4.3,4.3,4.3,4.3
25,Gland Pharma,4.1,(1.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 15 more",44 years old,1k-5k Employees (India)
26,Compass Group S...,4.1,(695 Reviews),4.1,4.1,4.1,4.1
27,Cargill,4.3,(647 Reviews),Private,"Wayzata,Minnesota + 75 more",157 years old,1k-5k Employees (India)
28,GAIL,4.3,(1k Reviews),Private,"Delhi/NCR,Delhi + 68 more",38 years old,1k-5k Employees (India)
29,Shriram Pistons ...,4.3,(644 Reviews),Public,"Delhi/NCR,Delhi + 37 more",59 years old,1k-5k Employees (India)
0,Collabera Techno...,3.7,(644 Reviews),Private,"Basking Ridge,New Jersey + 36 more",31 years old,1k-5k Employees (India)
1,Devyani Internat...,3.7,(641 Reviews),Public,Gurugram + 59 more,31 years old,5k-10k Employees (India)
2,Haier Appliances...,3.9,(641 Reviews),Private,Qingdao + 69 more,18 years old,1k-5k Employees (India)
3,Orion Edutech,3.3,(640 Reviews),Private,Kolkata + 92 more,16 years old,5k-10k Employees (India)
4,Indoco Remedies,3.8,(640 Reviews),Public,"Mumbai,Maharashtra + 44 more",75 years old,1k-5k Employees (India)
5,SBICAP Securitie...,3.7,(639 Reviews),Public,"Mumbai,Maharashtra + 126 more",16 years old,1k-5k Employees (India)
6,Ashoka Buildcon,4.1,(637 Reviews),Public,"Nasik/Nashik,Maharashtra + 86 more",46 years old,1k-5k Employees (India)
7,SBI General Insu...,3.9,(635 Reviews),JV,"Mumbai,Maharashtra + 128 more",13 years old,1k-5k Employees (India)
8,Manipal Hospital,4.3,(635 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 25 more",69 years old,5k-10k Employees (India)
9,Chegg,4.4,(634 Reviews),Private,"Santa Clara,California + 48 more",17 years old,5k-10k Employees (India)
10,Kendriya Vidyala...,4.4,(634 Reviews),Public,"Delhi/NCR,Delhi + 158 more",59 years old,10k-50k Employees (India)
