,name,rating,reviews,company-type,HQ,age,employees
22,HCL Infosystems,3.9,(1.4k Reviews),Public,"Noida,Uttar Pradesh + 96 more",46 years old,10k-50k Employees (India)
23,Landmark Group,4.3,(4.2k Reviews),Private,"Dubai Marina,Dubai + 95 more",49 years old,1k-5k Employees (India)
24,Fortis Healthcar...,4.0,(1.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 51 more",26 years old,5k-10k Employees (India)
25,RBL Bank,3.8,(1.4k Reviews),Public,"Mumbai,Maharashtra + 166 more",79 years old,1k-5k Employees (India)
26,PNB MetLife,3.7,(1.4k Reviews),Private,"Mumbai,Maharashtra + 216 more",21 years old,5k-10k Employees (India)
27,Tata AIA Life In...,4.0,(1.4k Reviews),Private,"Mumbai,Maharashtra + 178 more",21 years old,5k-10k Employees (India)
28,Ola Cabs,3.8,(1.8k Reviews),Private,Bangalore + 78 more,12 years old,10k-50k Employees (India)
29,Lifestyle,4.3,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 80 more",8 years old,10k-50k Employees (India)
0,Kotak Mahindara ...,3.9,(1.4k Reviews),3.9,3.9,3.9,3.9
1,Pfizer,4.1,(1.9k Reviews),Public,"Chennai,Tamil Nadu + 89 more",18 years old,1k-5k Employees (India)
2,Max Healthcare,4.2,(1.5k Reviews),Partnership,"Delhi/NCR,New Delhi + 48 more",21 years old,1k-5k Employees (India)
3,L&T Technology S...,3.4,(1.4k Reviews),3.4,3.4,3.4,3.4
4,Life Insurance C...,4.3,(1.4k Reviews),Private,Mumbai + 322 more,66 years old,1 Lakh+ Employees (India)
5,Bank of America,4.4,(2.3k Reviews),Private,Charlotte + 27 more,24 years old,10k-50k Employees (India)
6,G4S,4.2,(1.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 94 more",26 years old,1 Lakh+ Employees (India)
7,Ekart Logistics,4.2,(1.4k Reviews),Private,"San Francisco,California + 333 more",13 years old,1k-5k Employees (India)
8,ITC Infotech In...,3.7,(1.4k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 36 more",22 years old,5k-10k Employees (India)
9,Biocon Biologics...,4.0,(1.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 53 more",44 years old,10k-50k Employees (India)
10,Escorts Group,4.2,(1.5k Reviews),Public,"Faridabad,Haryana + 87 more",62 years old,5k-10k Employees (India)
11,Nestle,4.1,(1.5k Reviews),Public,Vevey + 162 more,63 years old,5k-10k Employees (India)
12,Blue Dart Expres...,4.2,(1.4k Reviews),Public,"Mumbai,Maharashtra + 167 more",39 years old,10k-50k Employees (India)
13,DHFL,4.6,(1.3k Reviews),Public,"Mumbai,Maharashtra + 187 more",38 years old,1k-5k Employees (India)
14,JK Cement,4.2,(1.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 171 more",48 years old,1k-5k Employees (India)
15,NIIT Technologie...,3.4,(1.3k Reviews),Public,"Noida,Uttar Pradesh + 75 more",18 years old,5k-10k Employees (India)
16,GeBBS Healthcare...,3.8,(1.3k Reviews),Private,"Culver City,California + 10 more",17 years old,5k-10k Employees (India)
17,Delhi Public Sch...,3.9,(1.3k Reviews),Public,"Greater Noida,Uttar Pradesh + 194 more",24 years old,1k-5k Employees (India)
18,Suzuki,4.1,(6.4k Reviews),Private,"Vadodara/Baroda,Gujarat + 119 more",8 years old,1k-5k Employees (India)
19,CARS24.com,4.0,(1.3k Reviews),Private,"Gurgaon,Haryana + 113 more",7 years old,5k-10k Employees (India)
20,Berger Paints,3.8,(1.4k Reviews),Public,"Kolkata,West Bengal + 163 more",99 years old,1k-5k Employees (India)
21,HDFC Ergo Genera...,4.0,(1.3k Reviews),Public,"Mumbai,Maharashtra + 145 more",20 years old,1k-5k Employees (India)
22,Aakash Institute,3.6,(1.5k Reviews),Private,"New Delhi,Delhi + 126 more",34 years old,1k-5k Employees (India)
23,Voltas,4.1,(1.4k Reviews),Public,"Mumbai,Maharashtra + 125 more",68 years old,5k-10k Employees (India)
24,BHEL,4.3,(1.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 79 more",58 years old,10k-50k Employees (India)
25,Raymond,4.0,(1.5k Reviews),Public,"Thane,Maharashtra + 99 more",97 years old,1k-5k Employees (India)
26,Mankind Pharma,4.1,(1.4k Reviews),Private,"New Delhi,Delhi + 130 more",27 years old,5k-10k Employees (India)
27,AFCONS Infrastru...,4.4,(1.3k Reviews),Partnership,"Mumbai,Maharashtra + 63 more",63 years old,5k-10k Employees (India)
28,Reliance Digital,4.3,(1.3k Reviews),Private,"Mumbai,Maharashtra + 194 more",15 years old,1k-5k Employees (India)
29,Utkarsh Small Fi...,4.0,(1.3k Reviews),Public,"Varanasi,Uttar Pradesh + 182 more",13 years old,1k-5k Employees (India)
0,Fiserv,3.9,(1.3k Reviews),Private,"Brookfield,Wisconsin + 26 more",51 years old,501-1k Employees (India)
1,JMC Projects,4.3,(1.3k Reviews),Public,"Mumbai,Maharashtra + 83 more",40 years old,1k-5k Employees (India)
2,Tata AIG General...,4.2,(1.3k Reviews),Private,"Mumbai,Maharashtra + 165 more",22 years old,5k-10k Employees (India)
3,I Process Servic...,4.0,(1.3k Reviews),Private,"Mumbai,Maharashtra + 183 more",17 years old,1k-5k Employees (India)
4,PolicyBazaar,3.7,(1.3k Reviews),Private,"Gurgaon,Haryana + 21 more",14 years old,5k-10k Employees (India)
5,Poonawalla Finco...,4.1,(1.5k Reviews),Public,"Mumbai,Maharashtra + 236 more",34 years old,5k-10k Employees (India)
6,PVR Cinemas,4.4,(1.3k Reviews),Public,Gurgaon + 85 more,25 years old,501-1k Employees (India)
7,Aditya Birla Gro...,4.2,(12k Reviews),4.2,4.2,4.2,4.2
8,Birla Sun Life I...,4.2,(1.2k Reviews),4.2,4.2,4.2,4.2
9,Sapient Corporat...,3.9,(1.4k Reviews),Private,"New York,New York + 14 more",32 years old,5k-10k Employees (India)
10,café Coffee day,4.1,(1.2k Reviews),Private,"Bengaluru,Karnataka + 76 more",26 years old,1k-5k Employees (India)
11,Exide Industries,3.8,(2.5k Reviews),Public,"Kolkata,West Bengal + 154 more",75 years old,1k-5k Employees (India)
12,Cogent E Service...,3.4,(1.2k Reviews),Private,"Noida,Uttar Pradesh + 22 more",18 years old,10k-50k Employees (India)
13,Honda,4.1,(2.9k Reviews),Private,"Greater Noida,Uttar Pradesh + 155 more",37 years old,5k-10k Employees (India)
14,IndiGo,3.7,(1.2k Reviews),Private,"Boston,Massachusetts + 61 more",17 years old,10k-50k Employees (India)
15,Bhushan Power & ...,4.0,(1.2k Reviews),Private,"Delhi/NCR,New Delhi + 46 more",52 years old,501-1k Employees (India)
16,Renault-Nissan,4.1,(1.3k Reviews),4.1,4.1,4.1,4.1
17,Micro Labs,3.8,(1.2k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 90 more",49 years old,5k-10k Employees (India)
18,R.R. Donnelley,4.1,(1.2k Reviews),Private,"Chicago,Illinois + 7 more",158 years old,5k-10k Employees (India)
19,The Himalaya Dru...,4.2,(1.2k Reviews),Private,"San Francisco,California + 135 more",92 years old,1k-5k Employees (India)
20,KocharTech,4.4,(1.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 19 more",27 years old,5k-10k Employees (India)
21,Big Bazaar,4.2,(1.2k Reviews),Private,"Mumbai,Maharashtra + 147 more",21 years old,10k-50k Employees (India)
22,ADP Solutions,4.2,(1.2k Reviews),Public,"Roseland,Louisiana + 10 more",73 years old,1k-5k Employees (India)
23,ACT Fibernet,4.1,(1.2k Reviews),Private,"Daegu,Daegu + 31 more",22 years old,5k-10k Employees (India)
24,Sterling & Wilso...,4.1,(1.2k Reviews),Private,"Mumbai,Maharashtra + 62 more",95 years old,1k-5k Employees (India)
25,Emcure Pharmaceu...,4.0,(1.3k Reviews),Private,Pune + 77 more,41 years old,5k-10k Employees (India)
26,Aarti Industries,4.2,(1.2k Reviews),Public,"Mumbai,Maharashtra + 29 more",47 years old,1k-5k Employees (India)
27,Ajanta Pharma,3.9,(1.2k Reviews),Public,"Mumbai,Maharashtra + 81 more",49 years old,1k-5k Employees (India)
28,Blue Star,4.1,(1.2k Reviews),Public,"Mumbai,Maharashtra + 98 more",79 years old,1k-5k Employees (India)
29,Cholamandalam MS...,4.0,(1.2k Reviews),JV,"Chennai,Tamil Nadu + 251 more",21 years old,50k-1 Lakh Employees (India)
